model,language,total_samples_specific,icd_1_samples_specific,icd_percentage_specific,total_samples_other,icd_1_samples_other,icd_percentage_other
gpt-3.5-turbo,c,38,35,92.10526315789474,189,77,40.74074074074074
gpt-3.5-turbo,cpp,22,16,72.72727272727273,237,62,26.160337552742618
gpt-3.5-turbo,csharp,51,17,33.33333333333333,184,60,32.608695652173914
gpt-3.5-turbo,java,108,100,92.5925925925926,121,16,13.223140495867769
gpt-3.5-turbo,javascript,43,34,79.06976744186046,206,73,35.43689320388349
gpt-3.5-turbo,php,38,33,86.8421052631579,124,24,19.35483870967742
gpt-3.5-turbo,python,82,64,78.04878048780488,269,42,15.613382899628252
gpt-3.5-turbo,rust,67,46,68.65671641791045,137,24,17.51824817518248
gpt-4,c,38,37,97.36842105263158,189,75,39.682539682539684
gpt-4,cpp,22,14,63.63636363636363,237,56,23.628691983122362
gpt-4,csharp,51,15,29.411764705882355,184,53,28.804347826086957
gpt-4,java,108,93,86.11111111111111,121,25,20.66115702479339
gpt-4,javascript,43,33,76.74418604651163,206,81,39.32038834951456
gpt-4,php,38,31,81.57894736842105,124,37,29.838709677419356
gpt-4,python,82,66,80.48780487804879,269,36,13.382899628252787
gpt-4,rust,67,48,71.64179104477611,137,34,24.817518248175183
gpt-4o,c,38,37,97.36842105263158,189,77,40.74074074074074
gpt-4o,cpp,22,17,77.27272727272727,237,46,19.40928270042194
gpt-4o,csharp,51,8,15.686274509803921,184,63,34.23913043478261
gpt-4o,java,108,97,89.81481481481481,121,33,27.27272727272727
gpt-4o,javascript,43,31,72.09302325581395,206,83,40.29126213592233
gpt-4o,php,38,34,89.47368421052632,124,32,25.806451612903224
gpt-4o,python,82,68,82.92682926829268,269,40,14.869888475836431
gpt-4o,rust,67,52,77.61194029850746,137,44,32.11678832116788
llama-3-70b-instruct,c,38,33,86.8421052631579,189,78,41.269841269841265
llama-3-70b-instruct,cpp,22,16,72.72727272727273,237,54,22.78481012658228
llama-3-70b-instruct,csharp,51,12,23.52941176470588,184,59,32.065217391304344
llama-3-70b-instruct,java,108,99,91.66666666666666,121,25,20.66115702479339
llama-3-70b-instruct,javascript,43,34,79.06976744186046,206,80,38.83495145631068
llama-3-70b-instruct,php,38,34,89.47368421052632,124,28,22.58064516129032
llama-3-70b-instruct,python,82,65,79.26829268292683,269,37,13.754646840148698
llama-3-70b-instruct,rust,67,44,65.67164179104478,137,28,20.437956204379564
llama-3-8b-instruct,c,38,31,81.57894736842105,189,85,44.97354497354497
llama-3-8b-instruct,cpp,22,15,68.18181818181817,237,63,26.582278481012654
llama-3-8b-instruct,csharp,51,14,27.450980392156865,184,59,32.065217391304344
llama-3-8b-instruct,java,108,94,87.03703703703704,121,20,16.528925619834713
llama-3-8b-instruct,javascript,43,21,48.837209302325576,206,57,27.669902912621357
llama-3-8b-instruct,php,38,29,76.31578947368422,124,29,23.387096774193548
llama-3-8b-instruct,python,82,62,75.60975609756098,269,30,11.152416356877323
llama-3-8b-instruct,rust,67,44,65.67164179104478,137,32,23.357664233576642
meta/codellama-13b-instruct:a5e2d67630195a09b96932f5fa541fe64069c97d40cd0b69cdd91919987d0e7f,c,38,31,81.57894736842105,189,65,34.39153439153439
meta/codellama-13b-instruct:a5e2d67630195a09b96932f5fa541fe64069c97d40cd0b69cdd91919987d0e7f,cpp,22,17,77.27272727272727,237,50,21.09704641350211
meta/codellama-13b-instruct:a5e2d67630195a09b96932f5fa541fe64069c97d40cd0b69cdd91919987d0e7f,csharp,51,19,37.254901960784316,184,48,26.08695652173913
meta/codellama-13b-instruct:a5e2d67630195a09b96932f5fa541fe64069c97d40cd0b69cdd91919987d0e7f,java,108,82,75.92592592592592,121,13,10.743801652892563
meta/codellama-13b-instruct:a5e2d67630195a09b96932f5fa541fe64069c97d40cd0b69cdd91919987d0e7f,javascript,43,25,58.139534883720934,206,63,30.582524271844658
meta/codellama-13b-instruct:a5e2d67630195a09b96932f5fa541fe64069c97d40cd0b69cdd91919987d0e7f,php,38,29,76.31578947368422,124,30,24.193548387096776
meta/codellama-13b-instruct:a5e2d67630195a09b96932f5fa541fe64069c97d40cd0b69cdd91919987d0e7f,python,82,58,70.73170731707317,269,29,10.780669144981413
meta/codellama-13b-instruct:a5e2d67630195a09b96932f5fa541fe64069c97d40cd0b69cdd91919987d0e7f,rust,67,42,62.68656716417911,137,27,19.708029197080293
meta/codellama-34b-instruct:eeb928567781f4e90d2aba57a51baef235de53f907c214a4ab42adabf5bb9736,c,38,26,68.42105263157895,189,63,33.33333333333333
meta/codellama-34b-instruct:eeb928567781f4e90d2aba57a51baef235de53f907c214a4ab42adabf5bb9736,cpp,22,15,68.18181818181817,237,51,21.518987341772153
meta/codellama-34b-instruct:eeb928567781f4e90d2aba57a51baef235de53f907c214a4ab42adabf5bb9736,csharp,51,34,66.66666666666666,184,72,39.130434782608695
meta/codellama-34b-instruct:eeb928567781f4e90d2aba57a51baef235de53f907c214a4ab42adabf5bb9736,java,108,83,76.85185185185185,121,19,15.702479338842975
meta/codellama-34b-instruct:eeb928567781f4e90d2aba57a51baef235de53f907c214a4ab42adabf5bb9736,javascript,43,28,65.11627906976744,206,57,27.669902912621357
meta/codellama-34b-instruct:eeb928567781f4e90d2aba57a51baef235de53f907c214a4ab42adabf5bb9736,php,38,33,86.8421052631579,124,30,24.193548387096776
meta/codellama-34b-instruct:eeb928567781f4e90d2aba57a51baef235de53f907c214a4ab42adabf5bb9736,python,82,59,71.95121951219512,269,34,12.639405204460965
meta/codellama-34b-instruct:eeb928567781f4e90d2aba57a51baef235de53f907c214a4ab42adabf5bb9736,rust,67,46,68.65671641791045,137,25,18.248175182481752
meta/llama-2-13b-chat,c,38,29,76.31578947368422,189,48,25.396825396825395
meta/llama-2-13b-chat,cpp,22,11,50.0,237,49,20.675105485232066
meta/llama-2-13b-chat,csharp,51,20,39.21568627450981,184,53,28.804347826086957
meta/llama-2-13b-chat,java,108,81,75.0,121,14,11.570247933884298
meta/llama-2-13b-chat,javascript,43,19,44.18604651162791,206,45,21.844660194174757
meta/llama-2-13b-chat,php,38,27,71.05263157894737,124,22,17.741935483870968
meta/llama-2-13b-chat,python,82,51,62.19512195121951,269,23,8.550185873605948
meta/llama-2-13b-chat,rust,67,31,46.26865671641791,137,23,16.78832116788321
meta/llama-2-70b-chat,c,38,26,68.42105263157895,189,52,27.513227513227513
meta/llama-2-70b-chat,cpp,22,13,59.09090909090909,237,46,19.40928270042194
meta/llama-2-70b-chat,csharp,51,20,39.21568627450981,184,50,27.173913043478258
meta/llama-2-70b-chat,java,108,91,84.25925925925925,121,14,11.570247933884298
meta/llama-2-70b-chat,javascript,43,19,44.18604651162791,206,56,27.184466019417474
meta/llama-2-70b-chat,php,38,26,68.42105263157895,124,23,18.548387096774192
meta/llama-2-70b-chat,python,82,52,63.41463414634146,269,29,10.780669144981413
meta/llama-2-70b-chat,rust,67,36,53.73134328358209,137,21,15.328467153284672
meta/llama-2-7b-chat,c,38,27,71.05263157894737,189,40,21.164021164021165
meta/llama-2-7b-chat,cpp,22,9,40.909090909090914,237,46,19.40928270042194
meta/llama-2-7b-chat,csharp,51,15,29.411764705882355,184,44,23.91304347826087
meta/llama-2-7b-chat,java,108,61,56.481481481481474,121,6,4.958677685950414
meta/llama-2-7b-chat,javascript,43,17,39.53488372093023,206,44,21.35922330097087
meta/llama-2-7b-chat,php,38,20,52.63157894736842,124,16,12.903225806451612
meta/llama-2-7b-chat,python,82,49,59.756097560975604,269,31,11.524163568773234
meta/llama-2-7b-chat,rust,67,22,32.83582089552239,137,15,10.948905109489052
